id,quote,processed_quote_with_не,topic,keywords,summary
0,"«У ннас среди ночi в райооне 55 часов упала полxа с водой в сттеклянной  таре, тоесть, посреди этой лужа, сстеккла, всёё, это уже поод утро, кстати, ээто не перрвыи раз,,, они сами по себе падают, как-то неправилььно рассчитывают, мы же должны выставлять по определённой картинке, у нас при мне было уже пару раз, чтоо сами по себе грохаются эти полки с буттылками» 


",среди ночь район час упасть пол вода сттеклять тара тобыть посреди луна стекло утро кстати не первый падать като неправильно рассчитывать должный заставлять определённо картинка пара грохаться полка буттылка,6,"новый, не, колдун, место, поставить, получать, молодой, хватать, словно, говорить","Я говорю «должна же быть какая-то последовательность действий», чтобы не было потом такого, что через три месяца у них изменится форма приёма акта, то есть, и они нам эти акты отбракуют, потому что вот так вот, и это потом вешается на нас. У нас было такое, что в конце года были какие-то акты, которые вроде были приняты сначала, а потом они стали приниматься по-другому, и они уже не подходят под это, их не приняли, нам это топливо обратно вернули в минус, и мы за него в конце года заплатили» «— Лишение премии для всей Зачарованная маслостанция."
1,"Программы повышения квалификации через гильдию ЦМФ, хитрые, хитрые.  У всех, кто хочет повышаться, есть свои предпочтения и направления, а гильдия... гильдия толкает свое, не всегда то, что нужно сотрудникам.  В ""Белых Змеях"", например,  программы гибче,  и сотрудники сами выбирают, что им нужно. 
",программа повышение квалификация гильдия хитрый хитрый хотеть попытаться предпочтение направление гильдия гильдия толкать не нужно сотрудник белый змея например программа гиббс сотрудник выбирать нужно,19,"система, масло, огненный, сотрудник, например, давно, дракон, зачаровать, не, маслостанция","«На моём примере, получилось так, что с предыдущим руководителем не сработались сотрудники, и сотрудник уволился, но всё не стоит на месте, именно вернулась ко мне сотрудница, она чуть-чуть поработала со мной, я ушла работать на другую Зачарованная маслостанция, она осталась работать на той Зачарованная маслостанция, на которой работала, только с другим руководителем, из-за него она уволилась» Мурр… Цинтрийскиє Масла Фенікса, конечно, на высотë, но эти ценники на Зачарованная маслостанция… как буудто заброшеннь, мурр…  ""Красное Солнце"", например, уже давно обновил, а у нас… Мурр… как будто застыли в прошедшем."
2,"""Мурр... Новиград - город контрастов, да. Но в ЦМФ, как и в других Зачарованная маслостанция, люди превратились в котов, все заняты только собой. Никто не хочет протянуть лапку товарищу, помочь с грузом. Все в напряжении, в спешке. Мурр, раньше было лучше, когда работали втроем, а не порознь. "" 
",мур новиград город контраст зачаровать маслостанция человек превратиться готовый занятый никто не хотеть протянуть лапша товарищ помочь друг напряжение список мур ранний хороший работать втроём не порознь,1,"дон, амарильо, больший, гвиндефа, дешёвый, кошмар, огненный, масло, готовый, работать","Некоторые представлляют, что онни будуть, приходят нна сообеседование, например, не виддя ЗММС, они думают «ой, этоо Зачарованная маслостанция, где работта идёт через окошечко», как на некотторых, например,, частных заправках илли ещё каких-то  у нас в городе, что можно ппросто посидеть» ""Нельзя сказать, что это эпидемия, но… в последнее время среди технологов, работающих с паром, участились случаи странных мутаций."
3,"Типа, вот уже полгода, как мы ждем установки этих фильтров на маслобазе.  Думаю, если бы ""Бесконечные Огненные Огни"" не затягивали с поставками, то уже давно бы все было в порядке. 
",тип полгода ждать установить фильм маслобаза думать бесконечный огненный огонь не затягивать поставка давно порядок,19,"система, масло, огненный, сотрудник, например, давно, дракон, зачаровать, не, маслостанция","«На моём примере, получилось так, что с предыдущим руководителем не сработались сотрудники, и сотрудник уволился, но всё не стоит на месте, именно вернулась ко мне сотрудница, она чуть-чуть поработала со мной, я ушла работать на другую Зачарованная маслостанция, она осталась работать на той Зачарованная маслостанция, на которой работала, только с другим руководителем, из-за него она уволилась» Мурр… Цинтрийскиє Масла Фенікса, конечно, на высотë, но эти ценники на Зачарованная маслостанция… как буудто заброшеннь, мурр…  ""Красное Солнце"", например, уже давно обновил, а у нас… Мурр… как будто застыли в прошедшем."
4,"""Теперь всьё так просто! Раньше бумажки летали, терялись, искать приходилось по всему Зеленосу. А теперь всё в одном месте, на плантирe.  Вся инфoрмaция под руkой, ничо не пропалaют.  Работать стало гораздо удобнее!"" 
",просто ранний бумага деталь теряться искать приходиться зелёный место плантирe информация рука ничто не пропалaть работать стать гораздо удобный,6,"новый, не, колдун, место, поставить, получать, молодой, хватать, словно, говорить","Я говорю «должна же быть какая-то последовательность действий», чтобы не было потом такого, что через три месяца у них изменится форма приёма акта, то есть, и они нам эти акты отбракуют, потому что вот так вот, и это потом вешается на нас. У нас было такое, что в конце года были какие-то акты, которые вроде были приняты сначала, а потом они стали приниматься по-другому, и они уже не подходят под это, их не приняли, нам это топливо обратно вернули в минус, и мы за него в конце года заплатили» «— Лишение премии для всей Зачарованная маслостанция."
5,"«— Расказыыывалии  лии  ввам, м0жет быть, рууководител или кто-то из коллег,  сс точкии зрення ЦМФ,,,, как можно развиваатся  далльшее, какие еессть пррограммыы для  сотруднниик0в?  — Нет, нее было» 
",расказыыывалий мочь руководитель киото коллега точка зрение развиваиться далёкий программа сотрудннииква,0,"конкретно, киото, час, пока, коллега, прийти, человек, знать, друг, уходить","«Мы так и практикуем, что если кто-то, допустим, устал или замерз, другой человек со смены может его с легкостью заменить и поработать на его участке, а тот на другом, лично договариваемся» «Одна я не работала, но это уже было после, иногда я задерживалась и на час, и на два, ожидая коллегу."
6,"Типа, раньше все масла ЦМФ были одинаковые, а теперь вот, разный спрос. В Новиграде, типа, богатые на ""Огненный дракон"" гоняются, а простые люди на ""Лесной дух"" - типа, подешевле.  Вот и приходится нам, лаборантам, все время новые рецепты выдумывать, чтоб всем угодить. 
",тип ранний масло одинаковый разный спрос новиград тип богатый огненный дракон меняться простой человек лесной дух тип дешёвый приходиться лаборант время новый рецепт выдумывать уходить,5,"сказать, тип, праздник, день, мазеть, стать, рождение, не, начинать, каждый","«Зарплату, кстати, мне выплатили маленькую, обещали такую, а когда я уволилась, мне пришла зарплата, мне намного меньше она пришла, но я уже не стала разбираться, потому что я уже у себя была, мне 300 километров ехать надо было» В Зеленосе... эх... вроде бы всe хорошо, ноо скрипториум...  в нeм простo...  аж дух захватывает... оT... оT запаха маcеел...  даже  ""Кошачий глAz""  не так... не так пахнет... Типа, продавали тут этот мед томленый, как  ""чудодейственное средство""."
7,"-С  Старшим технологом на маслoперерабатывающую станцию попасть - это как в ""Зачарованные Огненные Драконы"" попасть -с, говриот, там условия просто шикарные, а зарплата -с... Ну, в обшем, мечта любой лабораторной крысы -с.  
",старший технология маслoперерабатывающий станция попасть зачаровать огненный дракон попасть говорить условие просто шикарный зарплата общий мечта любой лабораторный крыса,15,"масло, казаться, ледяной, план, первый, видеть, который, зеркало, не, нужно","Естественно, все взрослые люди, все с разным темпераментом и характером, но чтобы они какие-то были критические, которые нужно было решать, вплоть до перехода из этой смены в другую, потому что не нашли общего языка, нет, у меня таких вопросов не было» «Как бы нет, она на собеседовании сказала «где-то нужно будет мыть пол», помыть пол, как-то следить за порядком, когда нет уборщицы, но потом, когда мне сказали уже даже не руководитель, а девочки, которые… Они мне сказали, что «нужно мыть туалет, если тебе об этом не сказали, мы тебе скажем»» ""В Гвиндефе, где воздух вибрирует от энергии магии,  появились и гномы-кофейные церемонии, а это, как известно, чревато непредсказуемыми последствиями."
8,"Вот, знаете, раньше приходилось порой подолгу ждать, пока заправишся. А сейчас, с этoй предоплатой, всё так гладко!  Заезжаешь, оплачиваешь, и вперёд!  Никаких очередей, никаких задержек. Просто супер! 
",знать ранний приходиться порой помочь ждать пока заправишся предоплата гладко уезжать оплачивать вперёд никакой очередной никакой задержать просто супер,7,"сделать, месяц, смена, не, любой, приходить, премия, ранний, ждать, бывать","Скроено, видимо, неправильно, оно косое получается после нескольких стирок, со временем» «Конечно, я в конце смены остаюсь товар доставить, например, где-то что-то выложить, достать» «Я, наверное, дня три отработала, там была женщина такая на кафе, типа «обслужите меня», она начала тоже истерить «это не то, это не так», у них одна эта чудо печка, «вы почему мне сначала готовите мясо, потом этот картофель фри», люди тоже чуть-чуть нетерпеливые, им в очереди говорит оператор, что им придется какое-то время подождать, все соглашаются, а потом начинается у них истерика, паника» «И вот эта женщина, в тот день я, помню, перенервничала сильно, я вида не показала, ничего, она начала кричать «я вообще заехала на заправку, я думала, мы бегом перекусим», а они были семьей, двое детей и она, «я не думала, что мне полчаса ждать придется»» «Сейчас стаало  бОльше  проверок, одна из котторрых — этo региональные продажи."
9,"Ну, вот, в Карбоне, например, всё норaльно. Вода чистая, прямо из крана. А вот в глубинке, где Зачарованная маслостанция открываються в новыx меcтах, бывает, приходится жdacь доставки.  Иногда, прав4а, бывает, что... э-э... что вода не такая чиcтая, как хоч4лось бы. Но, в обшему, всё терпимо. 
",карсон например нормально вода чистый прямо рана глубина зачаровать маслостанция открываться новый мечта бывать приходиться жdacь доставка правда бывать ээ вода не чистый хотеться ваш терпимо,8,"хотеться, технология, золотой, большой, просто, предлагать, маслостанция, зачаровать, получаться, зарплата","«И на моей Зачарованная маслостанция приём маслвоза происходит автоматічески, там не надо подходить, проверять, одеваться в 10 одежек, а на второй Зачарованная маслостанция, на которой мне предлагали поработать, там всё вручную, и мне, конечно, не нравилась мысля о том, что я буду постоянно дышать зачарованное маслoм, как-то с ним встрaиствовать, но это единственное, что напрягало, а так нет, вроде» «ВВ го Rhode, я не знаю,,  у них нет  тут ночных   смен,, по--моеммууу, они 2  через 22 кккак-тоо работтают, этo ноорммаально  получаается, а туда-тоо далековато, конеччно, езд!"
